Source,Target,Weight,Directed
153333000000000,100332000000,1,true
153333000000000,115047000000000,1,true
153333000000000,262135000000,1,true
153333000000000,348169000000000,1,true
153333000000000,14696440021,1,true
233895000000000,155768000000000,1,true
233895000000000,181675000000000,1,true
233895000000000,206052000000000,1,true
233895000000000,117576000000000,1,true
233895000000000,165329000000,1,true
233895000000000,271948000000,1,true
233895000000000,122238000000000,1,true
233895000000000,187627000000000,1,true
233895000000000,109362000000000,1,true
233895000000000,348169000000000,1,true
233895000000000,262135000000,1,true
233895000000000,229265000000000,1,true
233895000000000,106021000000000,1,true
233895000000000,198992000000,1,true
233895000000000,189667000000000,1,true
233895000000000,131177000000000,1,true
233895000000000,354485000000,1,true
233895000000000,100332000000,1,true
233895000000000,126661000000000,1,true
233895000000000,41911143546,1,true
233895000000000,160738000000,1,true
233895000000000,14696440021,1,true
233895000000000,77701077034,1,true
173151000000000,262135000000,1,true
173151000000000,14696440021,1,true
173151000000000,206052000000000,1,true
122238000000000,109462000000,1,true
122238000000000,348169000000000,1,true
122238000000000,454781000000000,1,true
122238000000000,356787000000000,1,true
122238000000000,280779000000,1,true
122238000000000,229265000000000,1,true
122238000000000,187627000000000,1,true
122238000000000,437973000000000,1,true
122238000000000,216396000000,1,true
122238000000000,176402000000000,1,true
122238000000000,178206000000000,1,true
122238000000000,131177000000000,1,true
122238000000000,155768000000000,1,true
122238000000000,310311000000000,1,true
122238000000000,198992000000,1,true
122238000000000,109362000000000,1,true
122238000000000,318636000000,1,true
122238000000000,165329000000,1,true
122238000000000,160738000000,1,true
122238000000000,181675000000000,1,true
122238000000000,117576000000000,1,true
122238000000000,354485000000,1,true
122238000000000,115047000000000,1,true
122238000000000,173151000000000,1,true
122238000000000,233895000000000,1,true
122238000000000,153333000000000,1,true
122238000000000,203833000000000,1,true
122238000000000,126574000000,1,true
122238000000000,442215000000000,1,true
122238000000000,122168000000,1,true
122238000000000,206052000000000,1,true
122238000000000,189667000000000,1,true
122238000000000,126661000000000,1,true
122238000000000,271948000000,1,true
122238000000000,77701077034,1,true
122238000000000,247448000000000,1,true
122238000000000,100332000000,1,true
122238000000000,14696440021,1,true
122238000000000,262135000000,1,true
115047000000000,109462000000,1,true
115047000000000,247448000000000,1,true
115047000000000,77701077034,1,true
115047000000000,356787000000000,1,true
115047000000000,280779000000,1,true
115047000000000,229265000000000,1,true
115047000000000,271948000000,1,true
115047000000000,437973000000000,1,true
115047000000000,126661000000000,1,true
115047000000000,216396000000,1,true
115047000000000,176402000000000,1,true
115047000000000,178206000000000,1,true
115047000000000,131177000000000,1,true
115047000000000,155768000000000,1,true
115047000000000,310311000000000,1,true
115047000000000,198992000000,1,true
115047000000000,109362000000000,1,true
115047000000000,160738000000,1,true
115047000000000,181675000000000,1,true
115047000000000,206052000000000,1,true
115047000000000,117576000000000,1,true
115047000000000,354485000000,1,true
115047000000000,173151000000000,1,true
115047000000000,442215000000000,1,true
115047000000000,233895000000000,1,true
115047000000000,122168000000,1,true
115047000000000,126574000000,1,true
115047000000000,203833000000000,1,true
115047000000000,454781000000000,1,true
115047000000000,318636000000,1,true
115047000000000,122238000000000,1,true
115047000000000,187627000000000,1,true
115047000000000,165329000000,1,true
115047000000000,189667000000000,1,true
115047000000000,153333000000000,1,true
115047000000000,262135000000,1,true
115047000000000,348169000000000,1,true
115047000000000,100332000000,1,true
115047000000000,14696440021,1,true
354485000000,77701077034,1,true
354485000000,160738000000,1,true
354485000000,14696440021,1,true
117576000000000,155768000000000,1,true
117576000000000,176402000000000,1,true
117576000000000,187627000000000,1,true
117576000000000,14696440021,1,true
117576000000000,198992000000,1,true
117576000000000,165329000000,1,true
117576000000000,77701077034,1,true
117576000000000,318636000000,1,true
117576000000000,160738000000,1,true
117576000000000,126574000000,1,true
117576000000000,126661000000000,1,true
117576000000000,262135000000,1,true
206052000000000,173151000000000,1,true
160738000000,280779000000,1,true
160738000000,14696440021,1,true
160738000000,247448000000000,1,true
160738000000,100332000000,1,true
160738000000,354485000000,1,true
160738000000,262135000000,1,true
160738000000,198992000000,1,true
160738000000,77701077034,1,true
160738000000,131177000000000,1,true
160738000000,165329000000,1,true
165329000000,348169000000000,1,true
165329000000,131177000000000,1,true
165329000000,14696440021,1,true
318636000000,247448000000000,1,true
318636000000,115047000000000,1,true
318636000000,187627000000000,1,true
318636000000,6723083591,1,true
318636000000,100332000000,1,true
